SMILES,INCHIKEY,dHm
[H]c1c(c([H])c(c(N([N+]([O-])=O)C([H])([H])C([H])([H])[H])c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,AWOPOGMEMRZDQH-UHFFFAOYSA-N,23.51
[H]c1c([H])c(Cl)c(C(=O)OC([H])([H])[H])c(OC([H])([H])[H])c1Cl,AWSBKDYHGOOSML-UHFFFAOYSA-N,18.49
CCCCCCOC1=C(OCCCCCC)C=C2C(=C1)C1=CC(OCCCCCC)=C(OCCCCCC)C=C1C1=C2N=C2C=CC(OC)=CC2=N1,AWTJBDKDWLDYFG-UHFFFAOYSA-N,27.5868
C1=CC=C(C=C1)C2=CC=C(C=C2)CO,AXCHZLOJGKSWLV-UHFFFAOYSA-N,26.03
[H]C(=O)C([H])=C([H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H],AXCXHFKZHDEKTP-UHFFFAOYSA-N,19.0
C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,AXFFGMPNSZVEDX-UHFFFAOYSA-N,60.8
CCCCCCCCOC1=CC=C(C=C1)C1=CC=C(OCC2=CC=C(C=C2)C(=O)OC)C=C1,AXMKAEFLBCMRCW-UHFFFAOYSA-N,29.4303
CCCCCCN(CCCCCC)C1=CC=C(C=C1)N=NC1=CC=C(C=C1)N=CC1=CC=C(C=C1)C#N,AXNWNOVEXIXSIT-UHFFFAOYSA-N,25.7
CCCCC(CC)COC1=CC=C(C=CC2=CC=C(C=C2)C(=O)OC2=CC(OC(=O)C3=CC=C(C=CC4=CC=C(OCC(CC)CCCC)C=C4)C=C3)=CC=C2)C=C1,AXOJEJYKRURORB-UHFFFAOYSA-N,40.5875
[H]C1=C([H])C(=S)C([H])=C([H])N1C([H])([H])[H],AXSKLZVLVONUIC-UHFFFAOYSA-N,15.9
CCC(C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O)C(=O)O,AYDXAULLCROVIT-UHFFFAOYSA-N,33.4
